fitness,split
892.5631533517969,test
1565.3510656466738,test
1839.8076939856496,test
2131.8882984302345,test
907.3045741659901,test
1333.9710075309235,test
1873.6157854098456,test
1918.2897904239219,test
862.1046675887418,test
1079.6131237912782,test
1592.7267477458279,test
1943.3354299482196,test
915.4372641634194,test
920.583787945017,test
1676.0577980527385,test
1722.3019411102102,test
858.7475816833226,test
841.0900358785974,test
1463.973464996435,test
1576.7311168652634,test
778.6628239680779,test
747.660224604073,test
1208.8552010403157,test
1467.3206920970676,test
1552.6929566569083,test
1542.1596552014553,test
1483.5684925898097,test
1532.5929473073954,test
1106.761688539985,test
1278.1929236053015,test
1345.2679112986327,test
1357.4992065506315,test
990.5706886976456,test
991.1755702793641,test
998.5984906208442,test
992.699408057227,test
991.2075438720179,test
933.5681351895842,test
956.1833264045232,test
947.6828460587195,test
882.3212685669481,test
889.8963081110212,test
837.8583181273217,test
679.8289955671404,test
831.5590111340474,test
723.7521071196401,test
871.9092534000841,test
730.3291031110791,test
2217.8435131385254,train
792.6059918068781,train
1119.0390052787423,train
1789.6252303327788,train
1873.7534238129576,train
892.2957434743864,train
1082.2925661847669,train
1654.4484512670458,train
1850.3268777690505,train
792.0004169480887,train
690.5229193448243,train
1582.1434651271113,train
1757.5097768652838,train
878.0452289967078,train
884.2571976376489,train
1527.1782006605222,train
1499.4777255211964,train
990.8271687315122,train
1022.5594392226877,train
1097.5090041060469,train
1309.1383081091114,train
989.2944324426388,train
987.160985619079,train
979.439795859677,train
1002.3056133880723,train
951.0819383001179,train
997.5532913422214,train
956.1342347273572,train
816.7032734670397,train
991.8172332229748,train
892.9729530997461,train
961.4034326763172,train
758.098075511242,train
