mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
331.39016300212285,367.7041086775904,328.23346660240355,367.7041086775904,302.32660251792254
310.8454521319984,426.21344184461077,324.7529778232711,426.21344184461077,-130.50119475757865
353.32820461662425,571.8799845594083,327.65981608801013,571.8799845594083,-130.50119475757865
339.9464861072178,460.7003290726501,334.41796683669054,571.8799845594083,-130.50119475757865
368.52240130376697,556.2496335732438,354.2748794908649,571.8799845594083,-130.50119475757865
347.0783664354625,514.7713819922083,325.9606281827517,571.8799845594083,-130.50119475757865
354.5811994207996,481.33373311419297,338.8342768777042,571.8799845594083,-130.50119475757865
347.1250584961279,412.10136639687755,340.90273322277864,571.8799845594083,-130.50119475757865
372.7154258338903,528.2877904713104,357.62335165066446,571.8799845594083,-130.50119475757865
340.7569494059697,507.373372277692,325.4947712975186,571.8799845594083,-130.50119475757865
376.7073636764668,541.5272820868694,351.80547748693755,571.8799845594083,-130.50119475757865
352.06686409075877,461.41310979953585,338.5649170453433,571.8799845594083,-130.50119475757865
367.83479694409453,603.2344736004588,348.62483876620337,603.2344736004588,-130.50119475757865
310.7556937252878,451.985171273843,320.3165308648141,603.2344736004588,-130.50119475757865
366.7446356068347,539.498176360223,335.8721268777823,603.2344736004588,-130.50119475757865
335.62884293327784,384.4546637051855,332.4721452413464,603.2344736004588,-130.50119475757865
363.5945453320253,528.8259800117231,343.0659405651032,603.2344736004588,-130.50119475757865
316.6143165809125,336.4660120687451,314.21394341434467,603.2344736004588,-130.50119475757865
329.14036584035733,393.6805983909179,323.54732938201727,603.2344736004588,-130.50119475757865
351.4243601665948,599.1319948396779,335.9803166068485,603.2344736004588,-130.50119475757865
337.8417666642463,407.95549686332964,325.398793785185,603.2344736004588,-130.50119475757865
341.73978123195724,439.65187777565563,337.80427704164555,603.2344736004588,-130.50119475757865
339.21908755251224,439.09295839367076,324.2785474509236,603.2344736004588,-130.50119475757865
362.1736884710376,540.3774213093054,333.8604091321757,603.2344736004588,-130.50119475757865
339.9202018209691,416.4731777831034,328.7252371222819,603.2344736004588,-130.50119475757865
346.4315498769703,515.0283054852472,331.74487183230093,603.2344736004588,-130.50119475757865
403.5609960825044,628.0292049241947,378.2180991734207,628.0292049241947,-130.50119475757865
383.1307108132711,658.2056911619194,353.623956753155,658.2056911619194,-130.50119475757865
397.10665846046004,604.8843043711265,361.78048068212667,658.2056911619194,-130.50119475757865
350.8336749646481,477.21596245277823,338.51368253154953,658.2056911619194,-130.50119475757865
352.2257953526993,566.6334037188595,332.7858267593932,658.2056911619194,-130.50119475757865
380.40215121396074,607.2207249313722,347.35815725877904,658.2056911619194,-130.50119475757865
382.44428990468316,535.9717454423735,372.8836165276859,658.2056911619194,-130.50119475757865
356.89765171074396,548.9617751788977,347.6705903502335,658.2056911619194,-130.50119475757865
326.8599110262579,398.5418964387601,321.1119605821102,658.2056911619194,-130.50119475757865
333.0000392793709,354.880778480178,329.9561458916503,658.2056911619194,-130.50119475757865
377.87628411832384,605.5916032352029,353.07303157314095,658.2056911619194,-130.50119475757865
364.5185279371843,641.9833994975754,345.46788617279833,658.2056911619194,-130.50119475757865
320.0517168568445,439.6175550766291,316.57697225152566,658.2056911619194,-130.50119475757865
352.1301066894194,456.39157450893407,344.805395105324,658.2056911619194,-130.50119475757865
357.96301020473544,429.2154189865292,348.0204646980495,658.2056911619194,-130.50119475757865
389.28532771511624,684.8967577602243,369.744728059233,684.8967577602243,-130.50119475757865
336.0238578051473,537.5454404777555,317.7179713369843,684.8967577602243,-130.50119475757865
375.299395168649,762.9798676238385,344.54523844730033,762.9798676238385,-130.50119475757865
340.67564990416906,483.0698726528948,350.8444588383696,762.9798676238385,-130.50119475757865
393.63819801546765,562.2932093439554,370.6107801517343,762.9798676238385,-130.50119475757865
317.6291718771971,420.7751253777394,324.10619621807484,762.9798676238385,-130.50119475757865
364.11106734250404,583.3659537505321,343.9744841683197,762.9798676238385,-130.50119475757865
366.66319528986463,542.2573155970374,347.7357439691545,762.9798676238385,-130.50119475757865
393.22787633622613,534.8265250118156,381.5503891591217,762.9798676238385,-130.50119475757865
358.62436377408915,611.2543851696861,340.7504502546278,762.9798676238385,-130.50119475757865
377.57599484395723,626.4134846851242,357.6139719369383,762.9798676238385,-130.50119475757865
370.38366841405053,603.0365753649123,361.885207415152,762.9798676238385,-130.50119475757865
380.1878464183762,494.7798874019689,377.7149415909076,762.9798676238385,-130.50119475757865
392.70789629842983,545.1864909562304,375.9635082464384,762.9798676238385,-130.50119475757865
382.71550817358167,525.0251726145239,363.04635246767526,762.9798676238385,-130.50119475757865
421.8133791426964,644.9621079340671,400.0354437491049,762.9798676238385,-130.50119475757865
422.58459031282973,621.9386220599208,366.8506053658183,762.9798676238385,-130.50119475757865
392.0198095445371,564.531858755436,361.4061775949376,762.9798676238385,-130.50119475757865
436.78040820134703,992.543215442653,365.864618231887,992.543215442653,-130.50119475757865
404.7143223590422,600.1517297685511,390.98778118447154,992.543215442653,-130.50119475757865
410.4073854677893,637.4459797456685,382.1507852908088,992.543215442653,-130.50119475757865
382.38432359625244,806.8219398459067,368.33789735995236,992.543215442653,-130.50119475757865
393.9645692956339,655.2938636342959,380.5035244814607,992.543215442653,-130.50119475757865
450.66247371570535,828.6850827492158,417.1652834273748,992.543215442653,-130.50119475757865
425.77552618479336,650.930648277528,385.6294127044981,992.543215442653,-130.50119475757865
369.8807243958365,454.3791838085092,368.65915869593726,992.543215442653,-130.50119475757865
312.2412167718083,484.376894233397,305.07379126512785,992.543215442653,-130.50119475757865
367.74810015363414,522.4404249933616,358.0987942776299,992.543215442653,-130.50119475757865
371.7120730842443,643.2176962623614,375.2492939162796,992.543215442653,-130.50119475757865
