mean_eval,pop_best_eval,median_eval
1.8599919730410157,2.919146270329695,1.8080032670476989
2.01281016719704,3.0900016121943086,2.1790248805079777
1.7782465367802918,2.822077463761043,1.872674619857668
1.6532766454948273,2.9772751626231755,1.4131079963323607
1.81099766693294,4.141995721591643,1.6735484171222539
1.907661283670436,3.6891737789167385,1.8651203598371398
1.7412847406336476,2.8506474035497353,1.797820626887202
1.9442924903627556,3.1775377400479776,1.968165772153625
1.504271409430473,2.691352793659279,1.2155346503217337
1.7930449708169407,3.64344750500753,1.7819744644787168
1.8349055552754692,3.265343140790368,1.6691934078243102
1.7163967033875835,3.1888842066572027,1.481522295167204
1.8016305045509562,3.296733370730121,1.5460744328102831
1.7645576116341162,3.2352381147311866,1.7408635559778656
2.012257629920127,3.1141140764680175,1.904781861173853
1.5478405350646147,3.288519055104384,1.5026836609983356
1.6184820012461467,2.7704686630711497,1.5542425492464003
1.853516176708684,2.988934247230178,1.716810932176779
1.8777605957328387,3.1687829598697466,1.6731904788109504
1.932973109115578,3.089881585913278,1.9332902993631458
2.0933633075100317,3.1053302455892564,1.9793327058815795
1.8894901192213025,3.428173760437945,1.6742927612471714
1.8112633199249537,2.9820141120638173,1.8350046541804814
1.632575694573425,3.092462876273302,1.4582534355811538
1.7472141460805235,2.9713459902726242,1.5767969938248048
1.7515040099565735,3.205002845000706,1.7261641625523356
1.8730141586573998,2.8679953744388422,1.7478658741606692
1.7391215337666932,3.1553677132001514,1.430349785556352
1.5976724735343621,2.7985051152078735,1.6847651775935
1.7579636110643482,3.168544215120815,1.7215801755912135
1.8696135562949945,3.092824387809128,1.9531315806324088
1.8850758164577743,3.2523070471051527,1.9983338784362585
2.0987522781614816,3.670845209266833,2.0220931264591986
1.678910791275695,2.8559548770852983,1.6382831371101334
1.688004927151938,3.093614490103701,1.4697198751431735
1.784921942135949,2.9413752933181936,1.7250744607006576
1.7918839944319935,3.0996462002430603,1.6975390401745385
1.7372025434421279,2.8393983755132153,1.5805719322913545
1.6437235774908996,3.0041552824853897,1.3618294304559826
1.889167940204696,3.122818813679072,1.538963293846567
1.738694651132118,3.085947706646887,1.6223019164760246
1.8044228323250437,3.0834657723025174,1.5362919662772299
1.838044354780855,2.9687243899734748,1.8051560016948835
1.75218247033627,2.9960929187665943,1.7169149187643624
1.845228157242298,3.1666066215066664,1.7732894736100682
1.972421920717877,2.7582689060761343,2.022140727316793
1.6469232147626498,2.9038330875046197,1.6782621077973716
1.985158150572569,2.9012845193138985,2.265152825713167
1.7686730120331042,3.4656745393226016,1.5693546552123996
2.0122858611558705,3.1060517653614585,2.076926357398295
1.785972500731391,3.5182540522229897,1.7548022461724477
1.7643252511724914,2.9371808845434613,1.6049318700625503
1.741712180140801,3.0984646897099304,1.591417199504204
1.7837863198900978,3.726466308614027,1.5723687212568715
2.0015643485941057,3.180430440163743,2.0538883514971547
1.7319354630134627,3.3191425785916313,1.6412840476240378
1.9299459788385873,3.2350384748471477,2.080506666981756
2.1062261007926812,4.425197458894201,2.217135196458735
1.7621325546990914,4.291079610367463,1.7232038104608407
1.8165171679370906,3.1095303485117625,1.8204796052477408
1.7362309601433523,3.1343200153551845,1.7872164453105155
2.015188979751449,3.2915483597151205,2.05570632150042
