mean_eval,median_eval,pop_best_eval,best_eval,worst_eval
-2.7943619793836078e+48,17.149759621956722,326.1192101652009,326.1192101652009,-1.8115105073882107e+49
142.93323603581294,53.26276186598927,470.2072994727928,470.2072994727928,-1.8115105073882107e+49
135.50370783962188,48.30215266290548,327.7487479871307,470.2072994727928,-1.8115105073882107e+49
210.8326662232615,282.52214184691275,327.3545302506783,470.2072994727928,-1.8115105073882107e+49
119.03637248546309,62.95045498863225,345.0584367250553,470.2072994727928,-1.8115105073882107e+49
124.07366203347398,38.56442547813594,363.7769205420276,470.2072994727928,-1.8115105073882107e+49
236.01954326963934,298.1719863877679,439.78661389252636,470.2072994727928,-1.8115105073882107e+49
221.14238638348272,303.4747920482804,457.9114355911311,470.2072994727928,-1.8115105073882107e+49
205.01338433218248,291.83401040019424,349.67091428075577,470.2072994727928,-1.8115105073882107e+49
158.51122435724233,68.88492003393381,441.17238534688903,470.2072994727928,-1.8115105073882107e+49
229.03558399924964,303.51675137272696,354.6203404882056,470.2072994727928,-1.8115105073882107e+49
154.8520532902035,139.40202746658173,438.34371842369274,470.2072994727928,-1.8115105073882107e+49
253.05976055508665,305.6745167941982,412.96872846497956,470.2072994727928,-1.8115105073882107e+49
230.06230509855644,305.9386482281214,427.3443309916634,470.2072994727928,-1.8115105073882107e+49
218.930597975218,299.3833466244831,576.6926479158104,576.6926479158104,-1.8115105073882107e+49
200.3654190173435,288.60711344984236,570.5041523795603,576.6926479158104,-1.8115105073882107e+49
244.10398543189802,287.899550274288,582.1617418113802,582.1617418113802,-1.8115105073882107e+49
213.55950516703777,288.1840322771573,521.3441152909353,582.1617418113802,-1.8115105073882107e+49
266.46148154866006,308.7071728967452,534.9829084388235,582.1617418113802,-1.8115105073882107e+49
295.84923823191866,299.84859526864176,571.8154373657746,582.1617418113802,-1.8115105073882107e+49
272.3233670072155,307.5795197110349,562.5629481308055,582.1617418113802,-1.8115105073882107e+49
262.6095810977529,293.67558120373707,502.5472930006412,582.1617418113802,-1.8115105073882107e+49
279.2768974834354,301.7385629050277,367.1884325409903,582.1617418113802,-1.8115105073882107e+49
295.97838853511786,318.14269831940373,534.7860226889014,582.1617418113802,-1.8115105073882107e+49
290.0834619537289,315.2097041514654,444.68267498295603,582.1617418113802,-1.8115105073882107e+49
233.73800042071295,294.99549025318487,444.0900920396947,582.1617418113802,-1.8115105073882107e+49
290.6579808489666,312.47935227869345,572.5155524260794,582.1617418113802,-1.8115105073882107e+49
259.4678401877304,304.6800014079528,503.0577022302767,582.1617418113802,-1.8115105073882107e+49
304.99346887272566,317.36712152878965,606.52556443138,606.52556443138,-1.8115105073882107e+49
252.3109465899328,309.50938512340764,458.6272842098855,606.52556443138,-1.8115105073882107e+49
299.10707454723814,297.97613115663415,504.5518663457749,606.52556443138,-1.8115105073882107e+49
