env_name,par1,par2,median_fitness
Hill,5.0,2.2,2682.200360668865
Hill,10.0,2.2,3385.4050418869665
Hill,15.0,2.2,3864.3489785970687
Hill,20.0,2.2,4002.5817217487706
Hill,5.0,2.4,2209.6368494561684
Hill,10.0,2.4,3245.5222661396706
Hill,15.0,2.4,3692.67967565471
Hill,20.0,2.4,4038.204755166627
Hill,5.0,3.0,1504.7022206677811
Hill,10.0,3.0,2754.550405424384
Hill,15.0,3.0,3352.179333501267
Hill,20.0,3.0,3755.2600777517528
Hill,5.0,3.2,1421.951104255565
Hill,10.0,3.2,2496.5176035041504
Hill,15.0,3.2,3253.975045650598
Hill,20.0,3.2,3746.324506061274
Hill,5.0,3.8,974.5618445156224
Hill,10.0,3.8,1823.9009458989044
Hill,15.0,3.8,2631.936134390403
Hill,20.0,3.8,3273.942934474898
Hill,5.0,4.0,975.4264676751579
Hill,10.0,4.0,1573.3716852422851
Hill,15.0,4.0,2461.4072512786124
Hill,20.0,4.0,3197.485214333118
Rough,1.0,0.1,3676.4518324350356
Rough,2.0,0.1,3681.6221245174
Rough,3.0,0.1,3765.524852344147
Rough,4.0,0.1,3835.492453836471
Rough,1.0,0.2,3329.242373684144
Rough,2.0,0.2,3470.3444810606406
Rough,3.0,0.2,3578.1696949188045
Rough,4.0,0.2,3514.686671552749
Rough,1.0,0.5,2177.7344256244232
Rough,2.0,0.5,2295.2042647683184
Rough,3.0,0.5,2511.618291676782
Rough,4.0,0.5,2582.7050691524773
Rough,1.0,0.6,1832.92675345814
Rough,2.0,0.6,2041.20748791401
Rough,3.0,0.6,2233.5618287729335
Rough,4.0,0.6,2333.6833480214336
Rough,1.0,0.9,1176.2399011929174
Rough,2.0,0.9,1312.2397962766427
Rough,3.0,0.9,1476.0014627191795
Rough,4.0,0.9,1528.1640293344763
Rough,1.0,1.0,959.849581883205
Rough,2.0,1.0,1131.4945557921392
Rough,3.0,1.0,1323.694279722405
Rough,4.0,1.0,1416.6205608314292
Default,,,3970.4323631392417
Hill,5.0,2.6,2113.946172065364
Hill,10.0,2.6,3039.2123393897023
Hill,15.0,2.6,3645.273572742823
Hill,20.0,2.6,3975.293099733598
Hill,5.0,2.8,1689.9970368698278
Hill,10.0,2.8,2920.497494385212
Hill,15.0,2.8,3513.5243579809403
Hill,20.0,2.8,3933.3696108494296
Hill,5.0,3.4,1229.1555579440087
Hill,10.0,3.4,2250.4756600006704
Hill,15.0,3.4,2996.026641870904
Hill,20.0,3.4,3586.3069206621226
Hill,5.0,3.6,1041.7533523657085
Hill,10.0,3.6,2012.8194205305344
Hill,15.0,3.6,2853.318898609504
Hill,20.0,3.6,3364.887139248637
Rough,1.0,0.3,2925.007616693475
Rough,2.0,0.3,3069.3698400598832
Rough,3.0,0.3,3187.007958416041
Rough,4.0,0.3,3337.0498207966148
Rough,1.0,0.4,2508.278021334336
Rough,2.0,0.4,2660.4132122037704
Rough,3.0,0.4,2847.8167913269917
Rough,4.0,0.4,3018.4057830637958
Rough,1.0,0.7,1566.7070136939776
Rough,2.0,0.7,1753.5038332105769
Rough,3.0,0.7,1942.2707324658027
Rough,4.0,0.7,1961.4161703225686
Rough,1.0,0.8,1313.473272820457
Rough,2.0,0.8,1606.3062640186952
Rough,3.0,0.8,1671.4740381252836
Rough,4.0,0.8,1743.1071731594805
