mean_eval,median_eval,pop_best_eval,best_eval,worst_eval
-5.068475279146872e+50,287.9853230057446,356.40901457929465,356.40901457929465,-1.1651242722432337e+52
287.7736220897316,326.8591096608759,448.31364639781685,448.31364639781685,-1.1651242722432337e+52
270.4024615516779,304.51278020826913,482.594763386496,482.594763386496,-1.1651242722432337e+52
309.026347478852,313.5667437494279,530.8185470578873,530.8185470578873,-1.1651242722432337e+52
270.852463837722,289.4081949963423,511.55941017680675,530.8185470578873,-1.1651242722432337e+52
281.2270152247897,316.65271364454435,502.66053467964423,530.8185470578873,-1.1651242722432337e+52
267.6027390773507,283.61141954173894,351.75070809955946,530.8185470578873,-1.1651242722432337e+52
335.35573876591997,326.98307615849,643.4597235024696,643.4597235024696,-1.1651242722432337e+52
259.7263930158578,287.214298060204,379.6318592036463,643.4597235024696,-1.1651242722432337e+52
305.8170346225674,312.25639600475915,355.7520249011849,643.4597235024696,-1.1651242722432337e+52
230.18804633307113,281.179452765916,376.9125950655002,643.4597235024696,-1.1651242722432337e+52
327.7628827895306,322.8113286077604,616.110308435275,643.4597235024696,-1.1651242722432337e+52
260.7447587341125,284.2045568639749,485.0170166454088,643.4597235024696,-1.1651242722432337e+52
269.9613584751771,309.86019781064425,566.8686319766827,643.4597235024696,-1.1651242722432337e+52
274.45023646990677,285.08294311862454,367.0585521102291,643.4597235024696,-1.1651242722432337e+52
244.9503862498165,312.23622194968397,395.16781451781264,643.4597235024696,-1.1651242722432337e+52
262.6234843171745,288.4647561579358,370.80687561597074,643.4597235024696,-1.1651242722432337e+52
257.93652058061934,312.14890537930467,433.3190843058941,643.4597235024696,-1.1651242722432337e+52
222.94099200783148,289.0854932857469,526.7667708509205,643.4597235024696,-1.1651242722432337e+52
248.45236239714094,321.5740759770466,501.4404482196708,643.4597235024696,-1.1651242722432337e+52
208.6795521685971,281.2539632289773,401.3904917844564,643.4597235024696,-1.1651242722432337e+52
228.9707767038579,319.11570323116837,404.9475566553907,643.4597235024696,-1.1651242722432337e+52
221.80397276951965,282.62193248952207,381.7980346316273,643.4597235024696,-1.1651242722432337e+52
276.878612947979,312.8909763320111,637.0920914387651,643.4597235024696,-1.1651242722432337e+52
267.90145940649296,287.6116585016786,356.43586285401915,643.4597235024696,-1.1651242722432337e+52
305.06377226852607,314.8344271766165,406.9094220770315,643.4597235024696,-1.1651242722432337e+52
251.0376708450352,284.1009121282834,480.78504124263446,643.4597235024696,-1.1651242722432337e+52
307.0814407312869,318.84360417996385,547.7993403539365,643.4597235024696,-1.1651242722432337e+52
267.2455689739902,291.86647892080384,563.7165516928244,643.4597235024696,-1.1651242722432337e+52
277.4281722727347,321.4904534337868,480.5505356952592,643.4597235024696,-1.1651242722432337e+52
264.3559704621215,283.51542737865583,512.9832739770014,643.4597235024696,-1.1651242722432337e+52
298.0851357191402,317.2798809854285,460.2531676595538,643.4597235024696,-1.1651242722432337e+52
300.38096656363246,296.62231195585883,599.0010840370846,643.4597235024696,-1.1651242722432337e+52
326.49815180104576,318.75759069449856,569.3455149958852,643.4597235024696,-1.1651242722432337e+52
258.36478570221954,295.35662214170316,432.8882104027602,643.4597235024696,-1.1651242722432337e+52
313.971175814997,323.9061969025541,669.4068495783492,669.4068495783492,-1.1651242722432337e+52
207.9130223580108,282.54068612130635,365.7339652307702,669.4068495783492,-1.1651242722432337e+52
320.6481277654659,323.59507447416297,498.090898146547,669.4068495783492,-1.1651242722432337e+52
255.04017521613392,293.1587371093726,384.217916548355,669.4068495783492,-1.1651242722432337e+52
315.85682396036447,329.2990378359009,565.8629865651019,669.4068495783492,-1.1651242722432337e+52
286.33545873776967,321.86996688213696,625.487666968635,669.4068495783492,-1.1651242722432337e+52
302.8264390026106,322.37167937273216,423.8777259321897,669.4068495783492,-1.1651242722432337e+52
270.94360849639287,313.054237071621,599.9064139515593,669.4068495783492,-1.1651242722432337e+52
296.74429733279425,325.08130925282745,504.20620361451574,669.4068495783492,-1.1651242722432337e+52
